9,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
10,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
11,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
12,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
13,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
14,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
15,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
16,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
17,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
18,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
19,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
20,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
21,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
22,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
23,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
24,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
25,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
26,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
27,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
28,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
29,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
30,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬

Case 2 Delta-MRT Grid (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7,12.1,12.4,13,13.9,14.8,14.8,14.8,14.8,14.8,14.8,14.8,13.9,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7,11.9,12.2,12.8,13.5,14.4,14.8,14.8,14.8,14.8,14.8,14.4,13.5,12.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

Case 2 Delta-MRT Grid ASCI-art (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1, , , , , , , , , , , , ,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾, , , , , , , , , , , , , , 
2, , , , , , , , , , , , ,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾,◾, , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 

Case 2 Solar Adjusted MRT Grid (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,76.1,76.2,76.2,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,88.1,88.7,89.2,89.8,90.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,90.7,89.8,76.8,76.6,76.4,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.2,76.2
2,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,88.1,88.4,88.9,89.5,90.2,91.2,91.5,91.5,91.5,91.5,91.5,91.2,90.2,89.5,76.6,76.5,76.4,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2
3,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.4,76.4,76.5,76.6,76.6,76.6,76.7,76.7,76.7,76.7,76.7,76.6,76.6,76.6,76.5,76.4,76.4,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1
4,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.4,76.4,76.5,76.5,76.5,76.6,76.6,76.6,76.6,76.6,76.5,76.5,76.5,76.4,76.4,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1
5,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.4,76.4,76.4,76.5,76.5,76.5,76.5,76.5,76.5,76.5,76.4,76.4,76.4,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1
6,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1
7,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.3,76.3,76.4,76.4,76.4,76.4,76.4,76.3,76.3,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1
8,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1
9,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.3,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1
10,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
11,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
12,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
13,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
14,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.2,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
15,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
16,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
17,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
18,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
19,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1
20,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76
21,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76
22,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76
23,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76
24,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76
25,76,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76,76
26,76,76,76,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76,76,76,76
27,76,76,76,76,76,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76,76,76,76,76,76
28,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76,76,76,76,76,76,76,76,76,76,76,76,76
29,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
30,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76

Case 2 Solar Adjusted MRT Grid ASCI-art (length x depth)
depth, 40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
1,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▰,▰,▰,▮,▮,▮,▮,▮,▮,▮,▮,▮,▮,▮,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬,▬
